what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.0.v201103232243,"org.eclipse.wst.jsdt.debug.rhino.ui",1334833366869
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1334833367104
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1334833367477
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334833367687
started,bundle,org.eclipse.wst.jsdt.core,1.1.101.v201108151912,"org.eclipse.wst.jsdt.core",1334833367723
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334833373155
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334833376283
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1334833381720
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1334833382512
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334833396010
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334833396309
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334833405969
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334833410659
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334833418807
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334833419030
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1334833436744
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334833494359
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334833494412
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1334833501222
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334833530221
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334833547215
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334833547296
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1334833549552
